Address,Title_link,Sale price,list-card-type,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal and interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"10011 67th Rd, Forest Hills, NY 11375",https://www.zillow.com/homedetails/10011-67th-Rd-Forest-Hills-NY-11375/32001954_zpid/,"$359,000",Co-op for sale,2 bds,1 ba,750 sqft,"$347,833",Cooperative,1958,No Data,No Data,On street,$479,,Great solar potentialSun Number™: 93.4,"$2,489","$1,468/mo",$0/mo,$251/mo,$126/mo,$644/mo,Not included
"300 8th Ave APT 5G, Brooklyn, NY 11215",https://www.zillow.com/homedetails/300-8th-Ave-APT-5G-Brooklyn-NY-11215/245043013_zpid/,"$245,000",Co-op for sale,Studio,1 ba,"40,558 sqft","$241,230",Cooperative,1920,No Data,No Data,No Data,$6,,Great solar potentialSun Number™: 88.65,"$1,835","$1,019/mo",$0/mo,$133/mo,$86/mo,$597/mo,Not included
"6316 71st St # 2FAMILY, Middle Village, NY 11379",https://www.zillow.com/homedetails/6316-71st-St-2FAMILY-Middle-Village-NY-11379/2082075149_zpid/,"$899,000",Apartment for sale,4 bds,2 ba,-- sqft,"$907,296",Multi Family,1950,No Data,No Data,No Data,No Data,,,"$4,439","$3,495/mo",$0/mo,$629/mo,$315/mo,$0/mo,Not included
"6417 72nd St APT 1A, Flushing, NY 11379",https://www.zillow.com/homedetails/6417-72nd-St-APT-1A-Flushing-NY-11379/31997161_zpid/,"$609,000",Condo for sale,1 bd,2 ba,"1,204 sqft","$590,545",Condo,1986,Other,No Data,1 space,$391/month,$506,Candidate for a community solar programSun Number™: 23,"$3,398","$2,368/mo",$0/mo,$426/mo,$213/mo,$391/mo,Not included
"300 8th Ave APT 5G, Brooklyn, NY 11215",https://www.zillow.com/homedetails/300-8th-Ave-APT-5G-Brooklyn-NY-11215/245043013_zpid/,"$245,000",Co-op for sale,Studio,1 ba,"40,558 sqft","$241,230",Cooperative,1920,No Data,No Data,No Data,$6,,Great solar potentialSun Number™: 88.65,"$1,835","$1,019/mo",$0/mo,$133/mo,$86/mo,$597/mo,Not included
"6316 71st St # 2FAMILY, Middle Village, NY 11379",https://www.zillow.com/homedetails/6316-71st-St-2FAMILY-Middle-Village-NY-11379/2082075149_zpid/,"$899,000",Apartment for sale,4 bds,2 ba,-- sqft,"$907,296",Multi Family,1950,No Data,No Data,No Data,No Data,,,"$4,439","$3,495/mo",$0/mo,$629/mo,$315/mo,$0/mo,Not included
"109 27th Ave, Brooklyn, NY 11214",https://www.zillow.com/homedetails/109-27th-Ave-Brooklyn-NY-11214/30731138_zpid/,"$1,530,000",Apartment for sale,6 bds,3 ba,"2,680 sqft","$1,454,228",Multi Family,1968,Forced air,Other,No Data,$571,,Great solar potentialSun Number™: 87,"$7,473","$6,109/mo",$0/mo,$829/mo,$536/mo,$0/mo,Not included
"5709 6th Ave, Brooklyn, NY 11220",https://www.zillow.com/homedetails/5709-6th-Ave-Brooklyn-NY-11220/30579165_zpid/,"$2,880,000",House for sale,10 bds,3 ba,"4,032 sqft","$2,733,005",Single Family,1910,No Data,No Data,No Data,"1,480 sqft",$714,Great solar potentialSun Number™: 87,"$14,067","$11,499/mo",$0/mo,"$1,560/mo","$1,008/mo",$0/mo,Not included
"300 8th Ave APT 2P, Brooklyn, NY 11215",https://www.zillow.com/homedetails/300-8th-Ave-APT-2P-Brooklyn-NY-11215/244991826_zpid/,"$255,000",Co-op for sale,Studio,1 ba,"40,558 sqft","$251,076",Cooperative,1920,No Data,No Data,No Data,$6,,Great solar potentialSun Number™: 88.65,"$1,900","$1,043/mo",$0/mo,$138/mo,$89/mo,$630/mo,Not included
"300 8th Ave APT 5H, Brooklyn, NY 11215",https://www.zillow.com/homedetails/300-8th-Ave-APT-5H-Brooklyn-NY-11215/244989471_zpid/,"$200,000",Co-op for sale,Studio,1 ba,"40,558 sqft","$196,923",Cooperative,1920,No Data,No Data,No Data,$5,,Great solar potentialSun Number™: 88.65,"$1,640",$832/mo,$0/mo,$108/mo,$70/mo,$630/mo,Not included
"130 Evergreen St, Staten Island, NY 10308",https://www.zillow.com/homedetails/130-Evergreen-St-Staten-Island-NY-10308/32341002_zpid/,"$629,000",House for sale,4 bds,3 ba,"1,939 sqft","$607,142",Single Family,1980,Forced air,Central,Attached Garage,"2,700 sqft",$324,Great solar potentialSun Number™: 95.02,"$3,122","$2,445/mo",$0/mo,$456/mo,$220/mo,$0/mo,Not included
"3909 210th St # 4FAM, Bayside, NY 11361",https://www.zillow.com/homedetails/3909-210th-St-4FAM-Bayside-NY-11361/2082075290_zpid/,"$2,200,000",Apartment for sale,5 bds,6 ba,"3,880 sqft","$2,078,775",Multi Family,1927,No Data,No Data,No Data,$567,,,"$11,094","$8,784/mo",$0/mo,"$1,540/mo",$770/mo,$0/mo,Not included
"7261 113th St APT M1, Forest Hills, NY 11375",https://www.zillow.com/homedetails/7261-113th-St-APT-M1-Forest-Hills-NY-11375/121039413_zpid/,"$489,000",Co-op for sale,1 bd,1 ba,950 sqft,"$480,834",Cooperative,1951,No Data,No Data,No Data,$515,,Great solar potentialSun Number™: 95,"$3,316","$1,999/mo",$0/mo,$342/mo,$171/mo,$803/mo,Not included
"50 Riverside Dr # 7B, New York, NY 10024",https://www.zillow.com/homedetails/50-Riverside-Dr-7B-New-York-NY-10024/244855859_zpid/,"$3,395,000",Co-op for sale,3 bds,3 ba,"209,780 sqft","$3,303,243",Cooperative,1930,No Data,No Data,No Data,$16,,Great solar potentialSun Number™: 87.78,"$21,493","$13,556/mo",$0/mo,"$2,490/mo","$1,188/mo","$4,259/mo",Not included
"10813 Seaview Ave APT 41E, Brooklyn, NY 11236",https://www.zillow.com/homedetails/10813-Seaview-Ave-APT-41E-Brooklyn-NY-11236/30778021_zpid/,"$369,900",Condo for sale,2 bds,1 ba,809 sqft,,Condo,1989,Other,No Data,No Data,$440/month,$457,Great solar potentialSun Number™: 88.59,"$2,282","$1,512/mo",$0/mo,$200/mo,$129/mo,$440/mo,Not included
"300 8th Ave APT 1O, Brooklyn, NY 11215",https://www.zillow.com/homedetails/300-8th-Ave-APT-1O-Brooklyn-NY-11215/245041877_zpid/,"$245,000",Co-op for sale,Studio,1 ba,"40,558 sqft","$241,230",Cooperative,1920,No Data,No Data,No Data,$6,,Great solar potentialSun Number™: 88.65,"$1,836","$1,019/mo",$0/mo,$133/mo,$86/mo,$598/mo,Not included
"400 E 56th St APT 9D, New York, NY 10022",https://www.zillow.com/homedetails/400-E-56th-St-APT-9D-New-York-NY-10022/119982507_zpid/,"$1,599,000",Co-op for sale,2 bds,2 ba,"1,481 sqft","$1,552,187",Cooperative,1968,No Data,No Data,No Data,"$1,080",,Great solar potentialSun Number™: 94.99,"$10,594","$6,385/mo",$0/mo,"$1,173/mo",$560/mo,"$2,477/mo",Not included
"237 Lafayette St # 4, New York, NY 10012",https://www.zillow.com/homedetails/237-Lafayette-St-4-New-York-NY-10012/2082075532_zpid/,"$5,450,000",Co-op for sale,5 bds,3 ba,"4,500 sqft","$5,239,032",Cooperative,1911,No Data,No Data,No Data,"$1,211",,,"$32,265","$21,761/mo",$0/mo,"$3,997/mo","$1,908/mo","$4,600/mo",Not included
"130 E 18th St APT 9T, New York, NY 10003",https://www.zillow.com/homedetails/130-E-18th-St-APT-9T-New-York-NY-10003/244866065_zpid/,"$1,750,000",Co-op for sale,2 bds,2 ba,"187,543 sqft","$1,711,678",Cooperative,1962,No Data,No Data,157 spaces,$9,,Great solar potentialSun Number™: 94.18,"$11,140","$6,988/mo",$0/mo,"$1,283/mo",$613/mo,"$2,257/mo",Not included
"3955 51st St APT 1E, Woodside, NY 11377",https://www.zillow.com/homedetails/3955-51st-St-APT-1E-Woodside-NY-11377/245413113_zpid/,"$489,000",Co-op for sale,2 bds,1 ba,"391,802 sqft","$460,625",Cooperative,1951,No Data,No Data,209 spaces,$1,,Great solar potentialSun Number™: 86.98,"$3,311","$1,999/mo",$0/mo,$342/mo,$171/mo,$798/mo,Not included
"3759 Barnes Ave, Bronx, NY 10467",https://www.zillow.com/homedetails/3759-Barnes-Ave-Bronx-NY-10467/29826819_zpid/,"$415,000",House for sale,3 bds,2 ba,"1,780 sqft","$408,657",Single Family,1901,Other,Wall,No Data,"1,707 sqft",$233,Great solar potentialSun Number™: 87,"$2,170","$1,697/mo",$0/mo,$329/mo,$145/mo,$0/mo,Not included
"1063 New Jersey Ave Aa, Brooklyn, NY 11207",https://www.zillow.com/homedetails/1063-New-Jersey-Ave-Aa-Brooklyn-NY-11207/2082075946_zpid/,$--,Auction,-- bds,-- ba,-- sqft,,Condo,No Data,No Data,No Data,No Data,No Data,,,$0,$0/mo,$0/mo,$0/mo,$0/mo,$0/mo,Not included
"10318 171st St, Jamaica, NY 11433",https://www.zillow.com/homedetails/10318-171st-St-Jamaica-NY-11433/32140098_zpid/,"$394,967",Auction,-- bds,-- ba,"1,180 sqft",,Single Family,1920,No Data,No Data,No Data,"3,000 sqft",,Great solar potentialSun Number™: 85.41,"$2,029","$1,615/mo",$0/mo,$276/mo,$138/mo,$0/mo,Not included
"8941 201st St, Hollis, NY 11423",https://www.zillow.com/homedetails/8941-201st-St-Hollis-NY-11423/219883988_zpid/,"$435,445",Auction,Studio,-- ba,"1,267 sqft",,Single Family,1920,No Data,No Data,No Data,"2,613 sqft",,Great solar potentialSun Number™: 84.61,"$2,237","$1,780/mo",$0/mo,$305/mo,$152/mo,$0/mo,Not included
"153-23 Sapphire St, Howard Beach, NY 11414",https://www.zillow.com/homedetails/153-23-Sapphire-St-Howard-Beach-NY-11414/2082076008_zpid/,"$299,000",Condo for sale,1 bd,1 ba,-- sqft,,Condo,1977,No Data,No Data,No Data,No Data,No Data,,"$1,536","$1,222/mo",$0/mo,$209/mo,$105/mo,$0/mo,Not included
"718 Broadway APT 8C, New York, NY 10003",https://www.zillow.com/homedetails/718-Broadway-APT-8C-New-York-NY-10003/244900788_zpid/,"$1,550,000",Co-op for sale,Studio,2 ba,"1,310 sqft","$1,505,005",Cooperative,1908,No Data,No Data,No Data,"$1,183",,Great solar potentialSun Number™: 94.99,"$10,721","$6,189/mo",$0/mo,"$1,137/mo",$543/mo,"$2,853/mo",Not included
"6125 97th St APT 1K, Rego Park, NY 11374",https://www.zillow.com/homedetails/6125-97th-St-APT-1K-Rego-Park-NY-11374/245454618_zpid/,"$415,000",Co-op for sale,2 bds,1 ba,975 sqft,"$409,732",Cooperative,1962,No Data,No Data,No Data,$426,,Great solar potentialSun Number™: 84.6,"$2,132","$1,697/mo",$0/mo,$291/mo,$145/mo,$0/mo,Not included
"10610 95th Ave, Jamaica, NY 11416",https://www.zillow.com/homedetails/10610-95th-Ave-Jamaica-NY-11416/32120893_zpid/,"$699,000",House for sale,3 bds,3 ba,"1,216 sqft","$681,211",Single Family,1920,No Data,No Data,No Data,"2,522 sqft",$575,Great solar potentialSun Number™: 82.99,"$3,452","$2,718/mo",$0/mo,$489/mo,$245/mo,$0/mo,Not included
"153-23 Sapphire St # E, Howard Beach, NY 11414",https://www.zillow.com/homedetails/153-23-Sapphire-St-E-Howard-Beach-NY-11414/2082076291_zpid/,"$299,000",Condo for sale,1 bd,1 ba,630 sqft,,Condo,1977,No Data,No Data,No Data,No Data,$475,,"$1,536","$1,222/mo",$0/mo,$209/mo,$105/mo,$0/mo,Not included
"23 Mccormick Pl, Staten Island, NY 10305",https://www.zillow.com/homedetails/23-Mccormick-Pl-Staten-Island-NY-10305/32324724_zpid/,"$479,000",Townhouse for sale,3 bds,2 ba,"1,080 sqft","$464,097",Townhouse,1986,Gas,Central,Carport,"1,711 sqft",$444,Great solar potentialSun Number™: 90.17,"$2,473","$1,958/mo",$0/mo,$347/mo,$168/mo,$0/mo,Not included
"914 E 32nd St, Brooklyn, NY 11210",https://www.zillow.com/homedetails/914-E-32nd-St-Brooklyn-NY-11210/30751773_zpid/,"$829,000",House for sale,4 bds,3 ba,"2,032 sqft","$804,730",Single Family,1915,No Data,No Data,No Data,"2,030 sqft",$408,Great solar potentialSun Number™: 87.85,"$3,962","$3,223/mo",$0/mo,$449/mo,$290/mo,$0/mo,Not included
"1134 76th St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/1134-76th-St-Brooklyn-NY-11228/30706403_zpid/,"$1,580,000",Apartment for sale,6 bds,3 ba,"2,968 sqft","$1,483,629",Multi Family,1955,No Data,No Data,Attached Garage,$532,,Great solar potentialSun Number™: 95,"$7,718","$6,309/mo",$0/mo,$856/mo,$553/mo,$0/mo,Not included
"121 Bay 23rd St, Brooklyn, NY 11214",https://www.zillow.com/homedetails/121-Bay-23rd-St-Brooklyn-NY-11214/30713284_zpid/,"$2,395,000",Apartment for sale,9 bds,7 ba,"2,392 sqft","$2,251,299",Multi Family,2019,No Data,No Data,No Data,"$1,001",,Great solar potentialSun Number™: 94.2,"$11,698","$9,563/mo",$0/mo,"$1,297/mo",$838/mo,$0/mo,Not included
"11105 75th Rd # 56A, Forest Hills, NY 11375",https://www.zillow.com/homedetails/11105-75th-Rd-56A-Forest-Hills-NY-11375/2082076846_zpid/,"$499,000",Co-op for sale,2 bds,1 ba,"1,000 sqft","$490,667",Cooperative,1935,No Data,No Data,No Data,$499,,,"$3,636","$2,040/mo",$0/mo,$349/mo,$175/mo,"$1,072/mo",Not included
"740 E 232nd St APT 2A, Bronx, NY 10466",https://www.zillow.com/homedetails/740-E-232nd-St-APT-2A-Bronx-NY-10466/244432769_zpid/,"$90,000",Co-op for sale,1 bd,1 ba,700 sqft,"$90,000",Cooperative,1957,No Data,No Data,68 spaces,$129,,Great solar potentialSun Number™: 83.8,"$1,214",$349/mo,$0/mo,$71/mo,$32/mo,$762/mo,Not included
"745 E 231st St APT 4B, Bronx, NY 10466",https://www.zillow.com/homedetails/745-E-231st-St-APT-4B-Bronx-NY-10466/244452195_zpid/,"$150,000",Co-op for sale,2 bds,1 ba,950 sqft,"$150,000",Cooperative,1957,No Data,No Data,68 spaces,$158,,Good solar potentialSun Number™: 69.4,"$1,772",$624/mo,$0/mo,$119/mo,$53/mo,$977/mo,Not included
"1542 68th St FL 3, Brooklyn, NY 11219",https://www.zillow.com/homedetails/1542-68th-St-FL-3-Brooklyn-NY-11219/2082077041_zpid/,"$689,000",Condo for sale,2 bds,2 ba,"1,136 sqft","$669,650",Condo,2016,No Data,No Data,No Data,$265/month,$607,,"$3,558","$2,679/mo",$0/mo,$373/mo,$241/mo,$265/mo,Not included
"26 Beaver St # 16THFLOOR, New York, NY 10004",https://www.zillow.com/homedetails/26-Beaver-St-16THFLOOR-New-York-NY-10004/2082077220_zpid/,"$1,800,000",Co-op for sale,2 bds,1 ba,-- sqft,"$1,706,619",Cooperative,1909,No Data,No Data,No Data,No Data,,,"$9,137","$7,187/mo",$0/mo,"$1,320/mo",$630/mo,$0/mo,Not included
"109 Sea Gate Rd, Staten Island, NY 10305",https://www.zillow.com/homedetails/109-Sea-Gate-Rd-Staten-Island-NY-10305/32322398_zpid/,"$999,000",House for sale,4 bds,3 ba,"1,880 sqft","$894,675",Single Family,1935,No Data,Central,6 spaces,"10,000 sqft",$531,Great solar potentialSun Number™: 71.8,"$5,063","$3,989/mo",$0/mo,$724/mo,$350/mo,$0/mo,Not included
"17 Paerdegat 7th St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/17-Paerdegat-7th-St-Brooklyn-NY-11236/30770753_zpid/,"$630,000",Townhouse for sale,3 bds,2 ba,"1,870 sqft","$615,025",Townhouse,1965,No Data,No Data,Attached Garage,"2,600 sqft",$337,Candidate for a community solar programSun Number™: 37.45,"$3,011","$2,449/mo",$0/mo,$341/mo,$221/mo,$0/mo,Not included
"524 Bergen St, Brooklyn, NY 11217",https://www.zillow.com/homedetails/524-Bergen-St-Brooklyn-NY-11217/2109092897_zpid/,"$5,000,000",Townhouse for sale,1 bd,4 ba,-- sqft,"$4,941,176",Townhouse,No Data,No Data,No Data,Attached Garage,No Data,No Data,,"$24,423","$19,964/mo",$0/mo,"$2,708/mo","$1,750/mo",$0/mo,Not included
"71 E 77th St APT 3C, New York, NY 10075",https://www.zillow.com/homedetails/71-E-77th-St-APT-3C-New-York-NY-10075/99402866_zpid/,"$1,350,000",Co-op for sale,2 bds,2 ba,-- sqft,"$1,311,887",Cooperative,1928,No Data,No Data,No Data,No Data,,Good solar potentialSun Number™: 67.79,"$6,853","$5,390/mo",$0/mo,$990/mo,$473/mo,$0/mo,Not included
"245 E 72nd St APT 3B, New York, NY 10021",https://www.zillow.com/homedetails/245-E-72nd-St-APT-3B-New-York-NY-10021/244766250_zpid/,"$730,000",Co-op for sale,1 bd,1 ba,"117,882 sqft","$711,518",Cooperative,1930,No Data,No Data,No Data,$6,,Great solar potentialSun Number™: 85.39,"$5,231","$2,838/mo",$0/mo,$535/mo,$256/mo,"$1,602/mo",Not included
"17 Paerdegat 7th St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/17-Paerdegat-7th-St-Brooklyn-NY-11236/30770753_zpid/,"$630,000",Townhouse for sale,3 bds,2 ba,"1,870 sqft","$615,025",Townhouse,1965,No Data,No Data,Attached Garage,"2,600 sqft",$337,Candidate for a community solar programSun Number™: 37.45,"$3,011","$2,449/mo",$0/mo,$341/mo,$221/mo,$0/mo,Not included
"71 E 77th St APT 3C, New York, NY 10075",https://www.zillow.com/homedetails/71-E-77th-St-APT-3C-New-York-NY-10075/99402866_zpid/,"$1,350,000",Co-op for sale,2 bds,2 ba,-- sqft,"$1,311,887",Cooperative,1928,No Data,No Data,No Data,No Data,,Good solar potentialSun Number™: 67.79,"$6,853","$5,390/mo",$0/mo,$990/mo,$473/mo,$0/mo,Not included
"965 5th Ave APT 6B, New York, NY 10075",https://www.zillow.com/homedetails/965-5th-Ave-APT-6B-New-York-NY-10075/81965166_zpid/,"$3,900,000",Co-op for sale,2 bds,2 ba,-- sqft,"$3,764,478",Cooperative,1938,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 90.99,"$19,797","$15,572/mo",$0/mo,"$2,860/mo","$1,365/mo",$0/mo,Not included
"721 5th Ave # 41F/G/H, New York, NY 10022",https://www.zillow.com/homedetails/721-5th-Ave-41F-G-H-New-York-NY-10022/2082077232_zpid/,"$6,700,000",Condo for sale,5 bds,5 ba,-- sqft,"$6,448,435",Condo,No Data,No Data,No Data,No Data,No Data,No Data,,"$34,011","$26,752/mo",$0/mo,"$4,913/mo","$2,345/mo",$0/mo,Not included
"632 Throggs Neck Expy, Bronx, NY 10465",https://www.zillow.com/homedetails/632-Throggs-Neck-Expy-Bronx-NY-10465/29846328_zpid/,"$625,000",For sale by owner,2 bds,2 ba,"2,092 sqft","$695,596",Single Family,1931,No Data,No Data,Attached Garage,"5,000 sqft",$299,Limited solar potentialSun Number™: 55,"$3,143","$2,430/mo",$0/mo,$495/mo,$219/mo,$0/mo,Not included
"2 River Ter # PHE, New York, NY 10282",https://www.zillow.com/homedetails/2-River-Ter-PHE-New-York-NY-10282/2085595338_zpid/,"$3,500,000",Condo for sale,2 bds,3 ba,"1,585 sqft","$3,298,722",Condo,2006,No Data,No Data,No Data,"$2,191/month","$2,208",Great solar potentialSun Number™: 91.64,"$19,958","$13,975/mo",$0/mo,"$2,567/mo","$1,225/mo","$2,191/mo",Not included
"8360 118th St APT 4J, Kew Gardens, NY 11415",https://www.zillow.com/homedetails/8360-118th-St-APT-4J-Kew-Gardens-NY-11415/245482555_zpid/,"$189,000",Co-op for sale,1 bd,1 ba,475 sqft,"$185,293",Cooperative,1960,No Data,No Data,No Data,$398,,Great solar potentialSun Number™: 93.4,$985,$786/mo,$0/mo,$132/mo,$66/mo,$0/mo,Not included
"325 Clinton Ave APT 8G, Brooklyn, NY 11205",https://www.zillow.com/homedetails/325-Clinton-Ave-APT-8G-Brooklyn-NY-11205/245064695_zpid/,"$629,000",Co-op for sale,1 bd,1 ba,"138,474 sqft","$629,000",Cooperative,1946,No Data,No Data,No Data,$5,,Great solar potentialSun Number™: 83.05,"$3,948","$2,445/mo",$0/mo,$341/mo,$220/mo,$942/mo,Not included
"444 E 57th St APT 8D, New York, NY 10022",https://www.zillow.com/homedetails/444-E-57th-St-APT-8D-New-York-NY-10022/31532985_zpid/,"$2,050,000",Condo for sale,3 bds,3 ba,"1,600 sqft",,Condo,1929,No Data,No Data,No Data,"$2,486/month","$1,281",Great solar potentialSun Number™: 90.99,"$12,892","$8,185/mo",$0/mo,"$1,503/mo",$718/mo,"$2,486/mo",Not included
"1600 Broadway # 5B, New York, NY 10019",https://www.zillow.com/homedetails/1600-Broadway-5B-New-York-NY-10019/80006473_zpid/,"$1,095,000",Condo for sale,1 bd,1 ba,889 sqft,"$1,040,249",Condo,2005,No Data,Central,No Data,"$1,400/month","$1,232",Candidate for a community solar programSun Number™: 22.99,"$6,958","$4,372/mo",$0/mo,$803/mo,$383/mo,"$1,400/mo",Not included
"139 E 94th St APT 2D, New York, NY 10128",https://www.zillow.com/homedetails/139-E-94th-St-APT-2D-New-York-NY-10128/244793420_zpid/,"$600,000",Co-op for sale,1 bd,1 ba,"67,882 sqft","$595,579",Cooperative,1928,No Data,No Data,No Data,$9,,Great solar potentialSun Number™: 86.98,"$5,053","$2,333/mo",$0/mo,$440/mo,$210/mo,"$2,070/mo",Not included
"165 W End Ave APT 26L, New York, NY 10023",https://www.zillow.com/homedetails/165-W-End-Ave-APT-26L-New-York-NY-10023/244791707_zpid/,"$499,000",Co-op for sale,Studio,1 ba,"428,271 sqft","$488,494",Cooperative,1962,No Data,No Data,No Data,$1,,Great solar potentialSun Number™: 81.39,"$3,696","$2,040/mo",$0/mo,$366/mo,$175/mo,"$1,115/mo",Not included
"310 E 46th St APT 5G, New York, NY 10017",https://www.zillow.com/homedetails/310-E-46th-St-APT-5G-New-York-NY-10017/72525344_zpid/,"$950,000",Apartment for sale,1 bd,1 ba,"1,100 sqft",,Apartment,1929,No Data,No Data,No Data,$864,,Great solar potentialSun Number™: 95.78,"$6,453","$3,793/mo",$0/mo,$697/mo,$333/mo,"$1,631/mo",Not included
"100 United Nations Plz APT 50B, New York, NY 10017",https://www.zillow.com/homedetails/100-United-Nations-Plz-APT-50B-New-York-NY-10017/31531883_zpid/,"$7,600,000",Condo for sale,3 bds,5 ba,"3,023 sqft",,Condo,1984,No Data,Central,No Data,"$4,588/month","$2,514",,"$43,167","$30,346/mo",$0/mo,"$5,573/mo","$2,660/mo","$4,588/mo",Not included
"175 E 79th St # HEALTHCARE, New York, NY 10075",https://www.zillow.com/homedetails/175-E-79th-St-HEALTHCARE-New-York-NY-10075/2082078709_zpid/,"$1,825,000",Co-op for sale,Studio,3 ba,"1,600 sqft","$1,763,912",Cooperative,1928,No Data,No Data,No Data,"$1,141",,Great solar potentialSun Number™: 90.98,"$13,910","$7,287/mo",$0/mo,"$1,338/mo",$639/mo,"$4,646/mo",Not included
"214 E 9th St # PH4D, New York, NY 10003",https://www.zillow.com/homedetails/214-E-9th-St-PH4D-New-York-NY-10003/2082078711_zpid/,"$1,995,000",Condo for sale,2 bds,2 ba,"1,600 sqft","$1,906,725",Condo,1900,No Data,Central,No Data,$800/month,"$1,247",,"$10,927","$7,966/mo",$0/mo,"$1,463/mo",$698/mo,$800/mo,Not included
"555 Main St APT 1111, New York, NY 10044",https://www.zillow.com/homedetails/555-Main-St-APT-1111-New-York-NY-10044/2098519057_zpid/,"$445,000",Co-op for sale,Studio,1 ba,596 sqft,"$431,605",Cooperative,1975,No Data,No Data,No Data,$747,,,"$2,932","$1,819/mo",$0/mo,$326/mo,$156/mo,$631/mo,Not included
"815 Park Ave # 1AD/D2, New York, NY 10021",https://www.zillow.com/homedetails/815-Park-Ave-1AD-D2-New-York-NY-10021/2082078712_zpid/,"$2,500,000",Co-op for sale,4 bds,2 ba,"2,000 sqft","$2,410,967",Cooperative,1917,No Data,No Data,No Data,"$1,250",,Great solar potentialSun Number™: 94.19,"$19,581","$9,982/mo",$0/mo,"$1,833/mo",$875/mo,"$6,890/mo",Not included
"130 William St # 22C, New York, NY 10038",https://www.zillow.com/homedetails/130-William-St-22C-New-York-NY-10038/2082078713_zpid/,"$1,975,990",Condo for sale,2 bds,2 ba,"1,037 sqft","$1,899,917",Condo,No Data,No Data,Central,No Data,$730/month,"$1,905",,"$10,761","$7,890/mo",$0/mo,"$1,449/mo",$692/mo,$730/mo,Not included
