Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"139 Intervale St # 1, Boston, MA 02121",https://www.zillow.com/homedetails/139-Intervale-St-1-Boston-MA-02121/71497079_zpid/,"$359,900",Condo for sale,648 sqft,2 bds,1 ba,"$348,736",Condo,1900,Baseboard,None,None,$269/month,$555,Great solar potentialSun Number™: 82.38,"$1,981","$1,334/mo",$0/mo,$252/mo,$126/mo,$269/mo,Not included
"171 Walnut St UNIT 6, Boston, MA 02122",https://www.zillow.com/homedetails/171-Walnut-St-UNIT-6-Boston-MA-02122/59102626_zpid/,"$499,000",Condo for sale,"1,243 sqft",2 bds,2 ba,"$485,000",Condo,1988,Heat pump,Central,2 spaces,$479/month,$401,Great solar potentialSun Number™: 87.98,"$2,853","$1,850/mo",$0/mo,$349/mo,$175/mo,$479/mo,Not included
"30 Saint Stephen St, Boston, MA 02115",https://www.zillow.com/homedetails/30-Saint-Stephen-St-Boston-MA-02115/59173134_zpid/,"$2,395,000",House for sale,"2,473 sqft",4 bds,3 ba,"$2,348,039",Single Family,1886,Forced air,Central,2 spaces,"1,742 sqft",$968,Great solar potentialSun Number™: 87.18,"$11,861","$9,346/mo",$0/mo,"$1,677/mo",$838/mo,$0/mo,Not included
"66 Falcon St APT 1, East Boston, MA 02128",https://www.zillow.com/homedetails/66-Falcon-St-APT-1-East-Boston-MA-02128/2082762842_zpid/,"$480,000",Condo for sale,704 sqft,1 bd,2 ba,"$467,015",Condo,1900,Forced air,Central,1 space,$175/month,$682,,"$2,458","$1,779/mo",$0/mo,$336/mo,$168/mo,$175/mo,Not included
"31 Havelock St SUITE 1, Boston, MA 02124",https://www.zillow.com/homedetails/31-Havelock-St-SUITE-1-Boston-MA-02124/59102278_zpid/,"$299,900",Condo for sale,987 sqft,2 bds,1 ba,"$299,902",Condo,1905,Baseboard,No Data,No Data,No Data,$304,Great solar potentialSun Number™: 91.4,"$1,427","$1,112/mo",$0/mo,$210/mo,$105/mo,$0/mo,Not included
"5 Brigham St, East Boston, MA 02128",https://www.zillow.com/homedetails/5-Brigham-St-East-Boston-MA-02128/239892362_zpid/,"$2,499,000",Apartment for sale,"3,147 sqft",5 bds,5 ba,"$2,394,997",Multi Family,2017,Forced air,No Data,No Data,$794,,Great solar potentialSun Number™: 84.2,"$12,376","$9,752/mo",$0/mo,"$1,749/mo",$875/mo,$0/mo,Not included
"7 Marion Pl, East Boston, MA 02128",https://www.zillow.com/homedetails/7-Marion-Pl-East-Boston-MA-02128/59124394_zpid/,"$549,000",Apartment for sale,"1,953 sqft",4 bds,2 ba,"$536,168",Multi Family,1880,Other,No Data,No Data,$281,,Great solar potentialSun Number™: 87.4,"$2,611","$2,035/mo",$0/mo,$384/mo,$192/mo,$0/mo,Not included
"390 Commonwealth Ave APT 411, Boston, MA 02215",https://www.zillow.com/homedetails/390-Commonwealth-Ave-APT-411-Boston-MA-02215/59167617_zpid/,"$1,149,000",Condo for sale,"1,349 sqft",2 bds,2 ba,"$1,147,716",Condo,1900,Heat pump,Central,Off street,"$1,047/month",$852,Great solar potentialSun Number™: 95.18,"$6,737","$4,484/mo",$0/mo,$804/mo,$402/mo,"$1,047/mo",Not included
"75 Milton Ave, Boston, MA 02124",https://www.zillow.com/homedetails/75-Milton-Ave-Boston-MA-02124/59112245_zpid/,"$398,000",House for sale,"1,492 sqft",3 bds,1 ba,"$390,516",Single Family,1880,Baseboard,No Data,2 spaces,"3,484 sqft",$267,Candidate for a community solar programSun Number™: 21.8,"$1,893","$1,475/mo",$0/mo,$279/mo,$139/mo,$0/mo,Not included
"258 Everett St # 3, Boston, MA 02128",https://www.zillow.com/homedetails/258-Everett-St-3-Boston-MA-02128/2118607158_zpid/,"$429,000",Condo for sale,614 sqft,1 bd,1 ba,"$428,187",Condo,1950,Forced air,Central,On street,$156/month,$699,,"$2,197","$1,590/mo",$0/mo,$300/mo,$150/mo,$156/mo,Not included
"33 Charter St APT 5, Boston, MA 02113",https://www.zillow.com/homedetails/33-Charter-St-APT-5-Boston-MA-02113/59179174_zpid/,"Est. $446,723",Pre-foreclosure,740 sqft,2 bds,1 ba,"$603,681",Condo,1920,Other,No Data,No Data,No Data,,Great solar potentialSun Number™: 93.58,"$2,118","$1,649/mo",$0/mo,$313/mo,$156/mo,$0/mo,Not included
"80 Everett St # 2, Boston, MA 02128",https://www.zillow.com/homedetails/80-Everett-St-2-Boston-MA-02128/2082352756_zpid/,"$725,000",Coming soon,"1,100 sqft",2 bds,2 ba,"$633,562",Condo,2019,No Data,No Data,No Data,No Data,$659,,"$3,437","$2,676/mo",$0/mo,$508/mo,$254/mo,$0/mo,Not included
"30 Pompeii St APT 1, Boston, MA 02119",https://www.zillow.com/homedetails/30-Pompeii-St-APT-1-Boston-MA-02119/2082518791_zpid/,"$279,000",Condo for sale,750 sqft,1 bd,1 ba,"$285,438",Condo,1910,Gas,No Data,No Data,$175/month,$372,,"$1,502","$1,034/mo",$0/mo,$195/mo,$98/mo,$175/mo,Not included
"51 Silver St # 201, Boston, MA 02127",https://www.zillow.com/homedetails/51-Silver-St-201-Boston-MA-02127/2082500511_zpid/,"$899,000",Condo for sale,"1,042 sqft",2 bds,2 ba,"$899,000",Condo,2019,Forced air,Central,No Data,$340/month,$863,,"$4,792","$3,508/mo",$0/mo,$629/mo,$315/mo,$340/mo,Not included
"211 London St # 2, Boston, MA 02128",https://www.zillow.com/homedetails/211-London-St-2-Boston-MA-02128/2082781051_zpid/,"$399,000",Condo for sale,524 sqft,2 bds,1 ba,"$403,643",Condo,1900,Baseboard,Other,On street,"$9,999,999/month",$761,,"$10,001,897","$1,479/mo",$0/mo,$279/mo,$140/mo,"$9,999,999/mo",Not included
"116 N St # 1, South Boston, MA 02127",https://www.zillow.com/homedetails/116-N-St-1-South-Boston-MA-02127/67095667_zpid/,"$749,000",Condo for sale,"1,141 sqft",2 bds,2 ba,"$732,594",Condo,1910,Forced air,Central,On street,$150/month,$656,Great solar potentialSun Number™: 94.06,"$3,701","$2,764/mo",$0/mo,$524/mo,$262/mo,$150/mo,Not included
"100 Fulton St APT 3S, Boston, MA 02109",https://www.zillow.com/homedetails/100-Fulton-St-APT-3S-Boston-MA-02109/59164370_zpid/,"$899,000",Condo for sale,"1,332 sqft",2 bds,2 ba,"$884,201",Condo,1989,Forced air,Central,1 space,$780/month,$675,Great solar potentialSun Number™: 93.58,"$5,232","$3,508/mo",$0/mo,$629/mo,$315/mo,$780/mo,Not included
"65 Commercial Wharf APT 1, Boston, MA 02110",https://www.zillow.com/homedetails/65-Commercial-Wharf-APT-1-Boston-MA-02110/113356652_zpid/,"$2,500,000",Condo for sale,"1,943 sqft",3 bds,2 ba,"$2,417,477",Condo,1832,Forced air,Central,Off street,"$1,318/month","$1,287",Great solar potentialSun Number™: 94.38,"$13,699","$9,756/mo",$0/mo,"$1,750/mo",$875/mo,"$1,318/mo",Not included
"59 Lonsdale St APT 3, Boston, MA 02124",https://www.zillow.com/homedetails/59-Lonsdale-St-APT-3-Boston-MA-02124/2084716857_zpid/,"$465,000",Condo for sale,944 sqft,2 bds,2 ba,"$454,058",Condo,1920,Forced air,Central,No Data,$277/month,$493,,"$2,489","$1,724/mo",$0/mo,$326/mo,$163/mo,$277/mo,Not included
"618 E 6th St, South Boston, MA 02127",https://www.zillow.com/homedetails/618-E-6th-St-South-Boston-MA-02127/59148861_zpid/,"$9,999,995",House for sale,"2,600 sqft",3 bds,2 ba,"$1,077,675",Single Family,1890,Baseboard,Other,1 space,"2,178 sqft","$3,846",Great solar potentialSun Number™: 94.06,"$49,523","$39,023/mo",$0/mo,"$7,000/mo","$3,500/mo",$0/mo,Not included
"474 Hyde Park Ave # 2, Boston, MA",https://www.zillow.com/homedetails/474-Hyde-Park-Ave-2-Boston-MA-02131/2082083077_zpid/,"$989,800",New construction,"2,551 sqft",4 bds,4 ba,"$1,018,911",Condo,2019,Forced air,Central,No Data,No Data,$388,,"$4,902","$3,863/mo",$0/mo,$693/mo,$346/mo,$0/mo,Not included
"77 Warren Ave, Boston, MA 02116",https://www.zillow.com/homedetails/77-Warren-Ave-Boston-MA-02116/59168635_zpid/,"$4,599,000",House for sale,"3,350 sqft",5 bds,6 ba,"$4,369,414",Single Family,1890,"Forced air, Radiant",Central,No Data,"1,306 sqft","$1,373",Great solar potentialSun Number™: 89.58,"$22,776","$17,947/mo",$0/mo,"$3,219/mo","$1,610/mo",$0/mo,Not included
"99-105 Broad St # 6E, Boston, MA 02110",https://www.zillow.com/homedetails/99-105-Broad-St-6E-Boston-MA-02110/90137535_zpid/,"$749,000",Condo for sale,759 sqft,1 bd,1 ba,"$733,548",Condo,1910,Forced air,Central,No Data,$586/month,$987,Great solar potentialSun Number™: 94.38,"$4,137","$2,764/mo",$0/mo,$524/mo,$262/mo,$586/mo,Not included
"140 Shawmut Ave # 3A, Boston, MA 02118",https://www.zillow.com/homedetails/140-Shawmut-Ave-3A-Boston-MA-02118/2092290310_zpid/,"$1,849,000",Condo for sale,"1,858 sqft",3 bds,3 ba,"$1,821,844",Condo,2017,Forced air,Central,1 space,"$1,146/month",$995,,"$10,303","$7,215/mo",$0/mo,"$1,294/mo",$647/mo,"$1,146/mo",Not included
"9 W Broadway UNIT 107, South Boston, MA 02127",https://www.zillow.com/homedetails/9-W-Broadway-UNIT-107-South-Boston-MA-02127/63530021_zpid/,"$999,900",Condo for sale,"1,498 sqft",2 bds,2 ba,"$983,473",Condo,1906,Forced air,Central,1 space,$751/month,$667,,"$5,703","$3,902/mo",$0/mo,$700/mo,$350/mo,$751/mo,Not included
"9 Lawn St, Boston, MA 02120",https://www.zillow.com/homedetails/9-Lawn-St-Boston-MA-02120/63709551_zpid/,"Est. $340,956",Pre-foreclosure,"1,426 sqft",3 bds,1.5 ba,"$460,752",Single Family,2003,Other,No Data,No Data,"1,971 sqft",,Great solar potentialSun Number™: 75.98,"$1,622","$1,264/mo",$0/mo,$239/mo,$119/mo,$0/mo,Not included
"238 Marlborough St APT G1, Boston, MA 02116",https://www.zillow.com/homedetails/238-Marlborough-St-APT-G1-Boston-MA-02116/59170343_zpid/,"$795,000",Condo for sale,754 sqft,1 bd,1 ba,"$783,166",Condo,1870,Baseboard,Central,No Data,$364/month,"$1,054",Great solar potentialSun Number™: 85.58,"$4,133","$2,934/mo",$0/mo,$557/mo,$278/mo,$364/mo,Not included
"229 E Eagle St # 2, Boston, MA 02128",https://www.zillow.com/homedetails/229-E-Eagle-St-2-Boston-MA-02128/2084400781_zpid/,"$574,000",Condo for sale,979 sqft,2 bds,2 ba,"$558,472",Condo,2019,Forced air,Central,No Data,$219/month,$586,,"$2,940","$2,119/mo",$0/mo,$402/mo,$201/mo,$219/mo,Not included
"387 Hyde Park Ave # 2, Boston, MA 02131",https://www.zillow.com/homedetails/387-Hyde-Park-Ave-2-Boston-MA-02131/190073461_zpid/,"$565,000",Condo for sale,"1,427 sqft",3 bds,3 ba,"$567,152",Condo,2009,Forced air,Central,1 space,$364/month,$396,Candidate for a community solar programSun Number™: 22.58,"$3,052","$2,094/mo",$0/mo,$396/mo,$198/mo,$364/mo,Not included
"408 Columbus Ave APT 1, Boston, MA 02116",https://www.zillow.com/homedetails/408-Columbus-Ave-APT-1-Boston-MA-02116/63041891_zpid/,"$699,000",Condo for sale,694 sqft,1 bd,1 ba,"$695,748",Condo,1901,Forced air,Central,No Data,No Data,"$1,007",Great solar potentialSun Number™: 80.78,"$3,314","$2,580/mo",$0/mo,$489/mo,$245/mo,$0/mo,Not included
"83 Green St, Boston, MA 02130",https://www.zillow.com/homedetails/83-Green-St-Boston-MA-02130/59133509_zpid/,"$839,000",House for sale,"1,464 sqft",3 bds,1 ba,"$859,827",Single Family,1900,Other,No Data,No Data,"2,178 sqft",$573,Great solar potentialSun Number™: 90.38,"$3,978","$3,097/mo",$0/mo,$587/mo,$294/mo,$0/mo,Not included
"118 W Concord St, Boston, MA 02118",https://www.zillow.com/homedetails/118-W-Concord-St-Boston-MA-02118/59185313_zpid/,"$4,995,000",House for sale,"4,554 sqft",4 bds,5 ba,"$4,779,700",Single Family,1875,Forced air,Central,No Data,"2,178 sqft","$1,097",Great solar potentialSun Number™: 85.58,"$24,737","$19,492/mo",$0/mo,"$3,497/mo","$1,748/mo",$0/mo,Not included
"55 Fairmount St, Boston, MA 02124",https://www.zillow.com/homedetails/55-Fairmount-St-Boston-MA-02124/59114990_zpid/,"$559,999",House for sale,"1,942 sqft",3 bds,2 ba,"$551,195",Single Family,1920,Baseboard,None,4 spaces,"6,098 sqft",$288,Great solar potentialSun Number™: 90.6,"$2,664","$2,076/mo",$0/mo,$392/mo,$196/mo,$0/mo,Not included
"284 Foster St, Boston, MA 02135",https://www.zillow.com/homedetails/284-Foster-St-Boston-MA-02135/2084318504_zpid/,"$2,995,000",House for sale,"7,951 sqft",10 bds,4.5 ba,"$2,899,578",Single Family,1898,No Data,No Data,No Data,"10,232 sqft",$377,Great solar potentialSun Number™: 86.65,"$14,832","$11,688/mo",$0/mo,"$2,097/mo","$1,048/mo",$0/mo,Not included
"1861 Dorchester Ave # 3, Boston, MA 02124",https://www.zillow.com/homedetails/1861-Dorchester-Ave-3-Boston-MA-02124/239893773_zpid/,"$479,000",Condo for sale,965 sqft,2 bds,1 ba,"$469,063",Condo,2015,Forced air,Central,No Data,$225/month,$496,Great solar potentialSun Number™: 85.8,"$2,503","$1,776/mo",$0/mo,$335/mo,$168/mo,$225/mo,Not included
"6 Lorne St, Boston, MA 02124",https://www.zillow.com/homedetails/6-Lorne-St-Boston-MA-02124/59114803_zpid/,"$750,000",Apartment for sale,"4,416 sqft",11 bds,3 ba,"$750,004",Multi Family,1905,Other,No Data,No Data,$170,,Great solar potentialSun Number™: 93,"$3,556","$2,768/mo",$0/mo,$525/mo,$263/mo,$0/mo,Not included
"3 Appleton St APT 101, Boston, MA 02116",https://www.zillow.com/homedetails/3-Appleton-St-APT-101-Boston-MA-02116/59175698_zpid/,"$1,099,000",Condo for sale,"1,207 sqft",2 bds,1 ba,"$1,075,346",Condo,1990,"Baseboard, Forced air",Central,On street,$210/month,$911,Great solar potentialSun Number™: 92.78,"$5,653","$4,289/mo",$0/mo,$769/mo,$385/mo,$210/mo,Not included
"147 Kelton St APT 712, Boston, MA 02134",https://www.zillow.com/homedetails/147-Kelton-St-APT-712-Boston-MA-02134/59086623_zpid/,"$699,000",Condo for sale,"1,145 sqft",2 bds,3 ba,"$689,999",Condo,1988,Forced air,Central,1 space,$479/month,$610,Great solar potentialSun Number™: 93.58,"$3,793","$2,580/mo",$0/mo,$489/mo,$245/mo,$479/mo,Not included
"19 Norton St, Boston, MA 02136",https://www.zillow.com/homedetails/19-Norton-St-Boston-MA-02136/59213137_zpid/,"$675,000",House for sale,"2,495 sqft",4 bds,3 ba,"$667,775",Single Family,1964,Baseboard,No Data,2 spaces,0.46 acres,$271,Candidate for a community solar programSun Number™: 23.02,"$3,200","$2,491/mo",$0/mo,$473/mo,$236/mo,$0/mo,Not included
"42 Monadnock St # 2, Boston, MA 02125",https://www.zillow.com/homedetails/42-Monadnock-St-2-Boston-MA-02125/2091048391_zpid/,"$399,000",Condo for sale,"1,050 sqft",3 bds,1 ba,"$399,703",Condo,1905,Other,None,On street,$150/month,$380,,"$2,048","$1,479/mo",$0/mo,$279/mo,$140/mo,$150/mo,Not included
"27 Temple St # T3, Boston, MA 02114",https://www.zillow.com/homedetails/27-Temple-St-T3-Boston-MA-02114/59180553_zpid/,"$829,000",Condo for sale,756 sqft,2 bds,2 ba,"$812,057",Condo,1899,Baseboard,None,"On street, None",$284/month,"$1,097",Great solar potentialSun Number™: 94.61,"$4,214","$3,060/mo",$0/mo,$580/mo,$290/mo,$284/mo,Not included
"65 Burbank St APT 4, Boston, MA 02115",https://www.zillow.com/homedetails/65-Burbank-St-APT-4-Boston-MA-02115/59177273_zpid/,"$1,100,000",Condo for sale,"1,458 sqft",5 bds,3 ba,"$1,070,643",Condo,1900,Other,"Central, Other",No Data,$350/month,$754,Great solar potentialSun Number™: 94.38,"$5,798","$4,293/mo",$0/mo,$770/mo,$385/mo,$350/mo,Not included
"26 Rutland Sq APT 3, Boston, MA 02118",https://www.zillow.com/homedetails/26-Rutland-Sq-APT-3-Boston-MA-02118/90136165_zpid/,"$1,995,000",Condo for sale,"1,640 sqft",2 bds,3 ba,"$1,972,677",Condo,1875,Forced air,Central,1 space,$255/month,"$1,216",Great solar potentialSun Number™: 90.38,"$10,135","$7,785/mo",$0/mo,"$1,397/mo",$698/mo,$255/mo,Not included
"6 Edgerly Pl APT 405, Boston, MA 02116",https://www.zillow.com/homedetails/6-Edgerly-Pl-APT-405-Boston-MA-02116/2126933747_zpid/,"$1,295,000",Condo for sale,"1,266 sqft",2 bds,2 ba,"$1,295,005",Condo,1910,Heat pump,Central,On street,$539/month,"$1,023",,"$6,952","$5,054/mo",$0/mo,$907/mo,$453/mo,$539/mo,Not included
"2430 Beacon St UNIT 105, Chestnut Hill, MA 02467",https://www.zillow.com/homedetails/2430-Beacon-St-UNIT-105-Chestnut-Hill-MA-02467/81853838_zpid/,"$599,900",Condo for sale,706 sqft,1 bd,1 ba,"$597,494",Condo,2006,Forced air,Central,1 space,$584/month,$850,Great solar potentialSun Number™: 83.98,"$3,428","$2,214/mo",$0/mo,$420/mo,$210/mo,$584/mo,Not included
"11 Ruthven St # 3, Boston, MA 02121",https://www.zillow.com/homedetails/11-Ruthven-St-3-Boston-MA-02121/2082092004_zpid/,"$460,000",Condo for sale,"1,407 sqft",4 bds,2 ba,"$460,070",Condo,2018,Forced air,Central,No Data,$228/month,$327,,"$2,416","$1,705/mo",$0/mo,$322/mo,$161/mo,$228/mo,Not included
"5 Joy St, Boston, MA",https://www.zillow.com/homedetails/5-Joy-St-Boston-MA-02108/2099813132_zpid/,"$6,999,000",New construction,"3,828 sqft",4 bds,4 ba,"$2,932,570",Condo,1900,Heat pump,Central,No Data,"$2,698/month","$1,828",Great solar potentialSun Number™: 92.78,"$37,359","$27,312/mo",$0/mo,"$4,899/mo","$2,450/mo","$2,698/mo",Not included
"2 Howe Ter APT 3, Boston, MA 02125",https://www.zillow.com/homedetails/2-Howe-Ter-APT-3-Boston-MA-02125/59102409_zpid/,"$350,000",Condo for sale,"1,506 sqft",3 bds,2 ba,"$350,002",Condo,1989,Other,None,1 space,$281/month,$232,Great solar potentialSun Number™: 93.58,"$1,946","$1,297/mo",$0/mo,$245/mo,$123/mo,$281/mo,Not included
"537 E 4th St, South Boston, MA 02127",https://www.zillow.com/homedetails/537-E-4th-St-South-Boston-MA-02127/59149224_zpid/,"$1,885,000",House for sale,"3,739 sqft",4 bds,4 ba,"$1,794,200",Single Family,1890,Other,Central,No Data,"2,178 sqft",$504,Limited solar potentialSun Number™: 50.06,"$9,335","$7,356/mo",$0/mo,"$1,320/mo",$660/mo,$0/mo,Not included
"19 Ashland St, Boston, MA 02122",https://www.zillow.com/homedetails/19-Ashland-St-Boston-MA-02122/59107407_zpid/,"$1,200,000",Apartment for sale,"3,686 sqft",4 bds,3 ba,"$1,180,131",Multi Family,1800,Other,No Data,1 space,$326,,Limited solar potentialSun Number™: 49.58,"$5,943","$4,683/mo",$0/mo,$840/mo,$420/mo,$0/mo,Not included
"47 Harvard St APT B303, Boston, MA 02129",https://www.zillow.com/homedetails/47-Harvard-St-APT-B303-Boston-MA-02129/59099135_zpid/,"$825,000",Condo for sale,926 sqft,2 bds,2 ba,"$825,006",Condo,1986,Forced air,Central,Off street,$464/month,$891,Great solar potentialSun Number™: 89.2,"$4,375","$3,045/mo",$0/mo,$578/mo,$289/mo,$464/mo,Not included
"492 Beacon St # S, Boston, MA 02115",https://www.zillow.com/homedetails/492-Beacon-St-S-Boston-MA-02115/2102628059_zpid/,"$1,599,000",Condo for sale,"1,660 sqft",3 bds,3 ba,"$1,553,751",Condo,1986,"Forced air, Heat pump",Central,1 space,"$2,595/month",$963,,"$10,514","$6,240/mo",$0/mo,"$1,119/mo",$560/mo,"$2,595/mo",Not included
"1690-1692 Columbia Rd, South Boston, MA 02127",https://www.zillow.com/homedetails/1690-1692-Columbia-Rd-South-Boston-MA-02127/190056668_zpid/,"$3,299,000",For sale by owner,"4,277 sqft",8 bds,2 ba,"$1,992,088",Multi Family,1935,Other,None,6 spaces,$771,,,"$16,338","$12,874/mo",$0/mo,"$2,309/mo","$1,155/mo",$0/mo,Not included
"47 Holworthy St # 3, Boston, MA 02121",https://www.zillow.com/homedetails/47-Holworthy-St-3-Boston-MA-02121/71497310_zpid/,"$339,000",Condo for sale,"1,100 sqft",3 bds,1 ba,"$332,692",Condo,1915,Other,None,No Data,$150/month,$308,Great solar potentialSun Number™: 91.98,"$1,763","$1,257/mo",$0/mo,$237/mo,$119/mo,$150/mo,Not included
"58 Mystic St, Boston, MA 02129",https://www.zillow.com/homedetails/58-Mystic-St-Boston-MA-02129/59099625_zpid/,"Est. $674,643",Pre-foreclosure,"1,913 sqft",4 bds,2 ba,"$911,680",Single Family,1885,Forced air,No Data,No Data,"1,058 sqft",,,"$3,341","$2,633/mo",$0/mo,$472/mo,$236/mo,$0/mo,Not included
"97 Mount Ida Rd APT 1, Boston, MA 02122",https://www.zillow.com/homedetails/97-Mount-Ida-Rd-APT-1-Boston-MA-02122/2083152949_zpid/,"$569,900",Condo for sale,"1,050 sqft",2 bds,2 ba,"$558,383",Condo,1905,Forced air,Central,No Data,$200/month,$543,,"$2,902","$2,103/mo",$0/mo,$399/mo,$199/mo,$200/mo,Not included
"26 Bardwell St # 2, Jamaica Plain, MA 02130",https://www.zillow.com/homedetails/26-Bardwell-St-2-Jamaica-Plain-MA-02130/2095969201_zpid/,"$700,000",Condo for sale,"1,050 sqft",2 bds,2 ba,"$719,794",Condo,1920,Forced air,Central,No Data,$250/month,$667,,"$3,569","$2,584/mo",$0/mo,$490/mo,$245/mo,$250/mo,Not included
"208 Bennington St, East Boston, MA 02128",https://www.zillow.com/homedetails/208-Bennington-St-East-Boston-MA-02128/59123697_zpid/,"$600,000",Apartment for sale,"1,776 sqft",5 bds,2 ba,"$591,266",Multi Family,1915,Other,No Data,No Data,$338,,Great solar potentialSun Number™: 93.8,"$2,845","$2,215/mo",$0/mo,$420/mo,$210/mo,$0/mo,Not included
"42 Dennis St # 1, Boston, MA 02119",https://www.zillow.com/homedetails/42-Dennis-St-1-Boston-MA-02119/2082860210_zpid/,"$499,000",Condo for sale,"1,030 sqft",4 bds,2 ba,"$492,782",Condo,2019,Heat pump,No Data,No Data,No Data,$484,,"$2,374","$1,850/mo",$0/mo,$349/mo,$175/mo,$0/mo,Not included
"260 Beacon St APT 5, Boston, MA 02116",https://www.zillow.com/homedetails/260-Beacon-St-APT-5-Boston-MA-02116/2095111119_zpid/,"$2,990,000",Condo for sale,"2,600 sqft",3 bds,3 ba,"$2,840,736",Condo,1900,Forced air,Central,No Data,"$1,136/month","$1,150",,"$15,943","$11,668/mo",$0/mo,"$2,093/mo","$1,047/mo","$1,136/mo",Not included
"545 E 3rd St # 18, Boston, MA 02127",https://www.zillow.com/homedetails/545-E-3rd-St-18-Boston-MA-02127/2083807381_zpid/,"$899,900",Condo for sale,"1,016 sqft",2 bds,2 ba,"$882,138",Condo,2019,Forced air,Central,No Data,$396/month,$886,,"$4,853","$3,512/mo",$0/mo,$630/mo,$315/mo,$396/mo,Not included
"545 E 3rd St # 1, Boston, MA 02127",https://www.zillow.com/homedetails/545-E-3rd-St-1-Boston-MA-02127/2083395727_zpid/,"$1,149,900",Condo for sale,"1,600 sqft",3 bds,3 ba,"$1,119,556",Condo,2019,Forced air,Central,No Data,$491/month,$719,,"$6,186","$4,487/mo",$0/mo,$805/mo,$402/mo,$491/mo,Not included
